category,hwahae_rank,product_name,hwahae_rating,hwahae_review,olive_search_query,olive_found,olive_brand,olive_product_name,olive_full_name,original_price,sale_price,discount_rate
skin_toner,84,파티온노스카나인 트러블 클리어 토너,4.54,865,파티온노스카나인 트러블 클리어 토너,1,파티온,[약산성/저자극] 파티온 노스카나인 트러블 클리어 토너 200ml,파티온[약산성/저자극] 파티온 노스카나인 트러블 클리어 토너 200ml,23000.0,23000.0,0.0
skin_toner,85,아누아복숭아 77 나이아신 에센스 토너,4.47,133,아누아복숭아 77 나이아신 에센스 토너,0,,,,,,
skin_toner,86,백아율모이스처 밸런싱 토너,4.75,1593,백아율모이스처 밸런싱 토너,0,,,,,,
skin_toner,87,마데카21테카 솔루션 수딩 미스트 토너,4.38,165,마데카21테카 솔루션 수딩 미스트 토너,0,,,,,,
skin_toner,88,카이네라벤더 PDRN 리바이탈라이징 토너,4.6,646,카이네라벤더 PDRN 리바이탈라이징 토너,0,,,,,,
skin_toner,89,셀라딕스트러블 쿨 카밍 131 토너,4.6,195,셀라딕스트러블 쿨 카밍 131 토너,1,셀라딕스,셀라딕스 트러블 쿨 카밍 131 토너 300ml,셀라딕스셀라딕스 트러블 쿨 카밍 131 토너 300ml,18300.0,15900.0,13.1
skin_toner,90,조선미녀맑은쌀채운토너,4.57,818,조선미녀맑은쌀채운토너,1,조선미녀,[모공/진정케어] 조선미녀 맑은쌀채운 토너 150ml,조선미녀[모공/진정케어] 조선미녀 맑은쌀채운 토너 150ml,18000.0,14400.0,20.0
skin_toner,91,코스알엑스아하/바하 클래리파잉 토너 미스트,4.32,4607,코스알엑스아하/바하 클래리파잉 토너 미스트,0,,,,,,
skin_toner,92,메디힐티트리 진정 수분 토너,4.63,260,메디힐티트리 진정 수분 토너,1,메디힐,[87관왕 No.1] 메디힐 더마 토너패드 100매 7종 피부 고민별 골라담기,메디힐[87관왕 No.1] 메디힐 더마 토너패드 100매 7종 피부 고민별 골라담기,26000.0,17900.0,31.2
skin_toner,93,싸이닉히아루론산 앰플 스킨,4.47,2036,싸이닉히아루론산 앰플 스킨,0,,,,,,
skin_toner,94,설화수윤조에센스,4.6,237,설화수윤조에센스,1,설화수,[업체배송] 설화수 윤조에센스 6세대 90ml 기획(+에센스90ml+클렌징폼50ml+에센스8ml+자음생크림5ml),설화수[업체배송] 설화수 윤조에센스 6세대 90ml 기획(+에센스90ml+클렌징폼50ml+에센스8ml+자음생크림5ml),140000.0,126000.0,10.0
skin_toner,95,한율어린쑥 수분진정 토너,4.54,307,한율어린쑥 수분진정 토너,1,한율,[트러블진정] 한율 어린쑥 5분 트러블진정패드 60+10매 (어린쑥패드),한율[트러블진정] 한율 어린쑥 5분 트러블진정패드 60+10매 (어린쑥패드),29000.0,29000.0,0.0
skin_toner,96,땡큐파머강화 교동쌀 맑음 에센셜 토너,4.62,545,땡큐파머강화 교동쌀 맑음 에센셜 토너,1,땡큐파머,[화해1위/미백토너] 땡큐파머 강화교동쌀 맑음 에센셜토너 200ml,땡큐파머[화해1위/미백토너] 땡큐파머 강화교동쌀 맑음 에센셜토너 200ml,28000.0,21000.0,25.0
skin_toner,97,이즈앤트리히아루론산 토너,4.13,14012,이즈앤트리히아루론산 토너,1,이즈앤트리,이즈앤트리 초저분자 히아루론산 토너 300ml 리필기획 (+200ml 리필 + 미스트 펌프 + 늘어나는 화장솜),이즈앤트리이즈앤트리 초저분자 히아루론산 토너 300ml 리필기획 (+200ml 리필 + 미스트 펌프 + 늘어나는 화장솜),33500.0,22500.0,32.8
skin_toner,98,이니스프리레티놀 PDRN 스킨부스터 토너,4.57,138,이니스프리레티놀 PDRN 스킨부스터 토너,1,이니스프리,[모공속광] 이니스프리 레티놀 그린티 PDRN 스킨부스터 토너 170ml 기획 (+50ml),이니스프리[모공속광] 이니스프리 레티놀 그린티 PDRN 스킨부스터 토너 170ml 기획 (+50ml),25000.0,18000.0,28.0
skin_toner,99,풀리쌀 세라 에센스 토너,4.44,72,풀리쌀 세라 에센스 토너,1,풀리,[레이PICK/보습광채] 풀리 쌀 세라 에센스 토너 250ml,풀리[레이PICK/보습광채] 풀리 쌀 세라 에센스 토너 250ml,27000.0,21500.0,20.4
skin_toner,100,달바비타 토닝 세럼 토너,4.55,240,달바비타 토닝 세럼 토너,1,달바,[미백/잡티케어] 달바 비타 토닝 세럼 토너 180ml,달바[미백/잡티케어] 달바 비타 토닝 세럼 토너 180ml,29900.0,29900.0,0.0
lotion_emulsion,1,일리윤세라마이드 아토 로션,4.79,2207,일리윤세라마이드 아토 로션,1,일리윤,[5년연속1위] 일리윤 세라마이드 아토 로션기획(600ML+600ML),일리윤[5년연속1위] 일리윤 세라마이드 아토 로션기획(600ML+600ML),53900.0,35900.0,33.4
lotion_emulsion,2,아토팜수딩 젤 로션,4.75,2589,아토팜수딩 젤 로션,1,아토팜,아토팜 수딩 젤 로션 160ml,아토팜아토팜 수딩 젤 로션 160ml,26000.0,18300.0,29.6
lotion_emulsion,3,에스트라아토베리어365 로션,4.67,2650,에스트라아토베리어365 로션,1,에스트라,에스트라 아토베리어365 로션 150ml 기획 (하이드로에센스 25ml+세라-히알 앰플 7ml),에스트라에스트라 아토베리어365 로션 150ml 기획 (하이드로에센스 25ml+세라-히알 앰플 7ml),33000.0,29700.0,10.0
lotion_emulsion,4,아토팜MLE 로션,4.74,5115,아토팜MLE 로션,1,아토팜,아토팜 MLE 로션 200ml 기획(200ml+60ml),아토팜아토팜 MLE 로션 200ml 기획(200ml+60ml),32000.0,22400.0,30.0
lotion_emulsion,5,싸이닉더 심플 데일리 로션,4.43,23855,싸이닉더 심플 데일리 로션,1,싸이닉,싸이닉 더 심플 데일리 로션 260ml,싸이닉싸이닉 더 심플 데일리 로션 260ml,18000.0,9900.0,45.0
lotion_emulsion,6,라운드랩1025 독도 로션,4.31,26903,라운드랩1025 독도 로션,1,라운드랩,[6월올영픽/대용량] 라운드랩 1025 독도 로션 400ml,라운드랩[6월올영픽/대용량] 라운드랩 1025 독도 로션 400ml,39000.0,23600.0,39.5
lotion_emulsion,7,레스케미갈락토미세스 더마로션,4.7,604,레스케미갈락토미세스 더마로션,0,,,,,,
lotion_emulsion,8,코스노리판테놀 베리어 에멀전,4.66,1335,코스노리판테놀 베리어 에멀전,1,코스노리,[화잘먹로션/장벽로션] 코스노리 판테놀 베리어 에멀전 150ml,코스노리[화잘먹로션/장벽로션] 코스노리 판테놀 베리어 에멀전 150ml,24000.0,16800.0,30.0
lotion_emulsion,9,라운드랩소나무 진정 시카 로션,4.56,1082,라운드랩소나무 진정 시카 로션,1,라운드랩,[민감진정/화해1위] 라운드랩 포 맨 소나무 진정 시카 로션 200ml,라운드랩[민감진정/화해1위] 라운드랩 포 맨 소나무 진정 시카 로션 200ml,25000.0,17600.0,29.6
lotion_emulsion,10,온그리디언츠스킨 베리어 카밍 로션,4.39,1184,온그리디언츠스킨 베리어 카밍 로션,1,온그리디언츠,[1등 속광로션/단독기획] 온그리디언츠 스킨 베리어 카밍 로션 이엑스 220ml 기획 (+80ml),온그리디언츠[1등 속광로션/단독기획] 온그리디언츠 스킨 베리어 카밍 로션 이엑스 220ml 기획 (+80ml),39900.0,39900.0,0.0
lotion_emulsion,11,러베5중 세라마이드 로션,4.72,306,러베5중 세라마이드 로션,0,,,,,,
lotion_emulsion,12,세타필모이스춰라이징 로션,4.5,1763,세타필모이스춰라이징 로션,1,세타필,[토이스토리5 증정팩/6월올영픽] 세타필 모이스춰라이징 로션 1L/각질제거 SA 로션&워시 473ml,세타필[토이스토리5 증정팩/6월올영픽] 세타필 모이스춰라이징 로션 1L/각질제거 SA 로션&워시 473ml,24000.0,17800.0,25.8
lotion_emulsion,13,브링그린블루빈 B5-PDRN 마일드 로션,4.58,463,브링그린블루빈 B5-PDRN 마일드 로션,1,브링그린,[화해1위] 브링그린 블루빈 B5-PDRN 마일드 로션 230ml (+블루빈크림 7ml),브링그린[화해1위] 브링그린 블루빈 B5-PDRN 마일드 로션 230ml (+블루빈크림 7ml),21000.0,16800.0,20.0
lotion_emulsion,14,더마비세라엠디 리페어 로션,4.62,1334,더마비세라엠디 리페어 로션,1,더마비,[무향]더마비 세라엠디 리페어 로션 400ml,더마비[무향]더마비 세라엠디 리페어 로션 400ml,22000.0,16000.0,27.3
