category,hwahae_rank,product_name,hwahae_rating,hwahae_review
serum_ampoule,1,토리든다이브인 저분자 히알루론산 세럼,4.61,82723
serum_ampoule,2,아누아PDRN 히알루론산 캡슐 100 세럼,4.61,11967
serum_ampoule,3,웰라쥬리얼 히알루로닉 블루 100 앰플,4.66,32864
serum_ampoule,4,레이어랩니오좀 판테놀 5% 세럼,4.64,1089
serum_ampoule,5,아비브히알루로닉 붐 세럼 워터 드롭,4.57,1037
serum_ampoule,6,에스네이처아쿠아 스쿠알란 세럼,4.71,11268
serum_ampoule,7,이니스프리레티놀 시카 흔적 앰플,4.42,6393
serum_ampoule,8,메디큐브제로 모공 원데이 펩타이드 세럼,4.57,993
serum_ampoule,9,라보레브피치마이크로바이옴 84 이지에프 세럼,4.49,2530
serum_ampoule,10,앰플엔세라마이드샷 앰플,4.53,9655
serum_ampoule,11,라셀틱스스킨 리커버리 펩타톡스 앰플,4.6,1209
serum_ampoule,12,메디힐마데카소사이드 흔적 리페어 세럼,4.36,8855
serum_ampoule,13,네이처리퍼블릭루트베리어 리페어 세럼,4.47,982
serum_ampoule,14,에스네이처아쿠아 콜라겐 펩타이드 트리플 젤 에센스,4.64,18611
serum_ampoule,15,메디힐피디알엔 모공 탄력 세럼,4.52,2126
serum_ampoule,16,쓰리노프데일리 컨셔스 세럼,4.62,2179
serum_ampoule,17,코스알엑스더 6 펩타이드 스킨 부스터 세럼,4.64,4333
serum_ampoule,18,에스트라아토베리어365 하이드로 에센스,4.63,2867
serum_ampoule,19,파티온노스카나인 트러블 세럼,4.51,10266
serum_ampoule,20,토리든밸런스풀 시카 진정 세럼,4.63,6997
serum_ampoule,21,에스네이처화이트 글로우 앰플,4.56,3672
serum_ampoule,22,프리메이진정한 수분세럼,4.69,667
serum_ampoule,23,셀라딕스트러블 세범 리밸런싱 131 앰플,4.32,3299
serum_ampoule,24,비플레인시카테롤 앰플,4.61,8777
serum_ampoule,25,스킨앤랩베리어덤 링거 앰플,4.64,3086
serum_ampoule,26,아렌시아레드 스무디 세럼 30,4.37,2249
serum_ampoule,27,린제이엄청 큰 멀티 앰플 [보습],4.51,2616
serum_ampoule,28,비플레인녹두 모공 타이트업 세럼,4.46,5091
serum_ampoule,29,더마토리나이아샷 플러스 IPMP 트러블 블랙 세럼,4.52,393
serum_ampoule,30,에이에스씨이플러스카밍앰플 프로,4.54,595
serum_ampoule,31,라운드랩소나무 진정 시카 앰플,4.47,6921
serum_ampoule,32,더마팩토리나이아신아마이드 20% 세럼,4.47,369
serum_ampoule,33,메디힐티트리 진정 수분 앰플,4.61,5758
serum_ampoule,34,리더스PDRN 5% 액티브 앰플,4.63,782
serum_ampoule,35,비플레인시카 PDRN 스킨 부스터 세럼,4.56,1432
serum_ampoule,36,팔색미인5D 히알루론산 세럼,4.58,583
serum_ampoule,37,마몽드카밍 샷 아줄렌 흔적 수분 앰플,4.41,1592
serum_ampoule,38,믹순히알레배 포어 버블 세럼,4.49,658
serum_ampoule,39,웰라쥬리얼 시카 카밍 95 트러블 앰플,4.6,3121
serum_ampoule,40,에센시엘하이드라 포르테 앰플,4.41,840
serum_ampoule,41,넘버즈인1번 판토텐산 액티브업 수딩세럼,4.33,1297
serum_ampoule,42,토리든밸런스풀 시카 컨트롤 세럼,4.35,889
serum_ampoule,43,다자연어성초 케어 세럼,4.55,12605
serum_ampoule,44,아비브어성초 테카 캡슐 세럼 카밍 드롭,4.28,1217
serum_ampoule,45,아누아어성초 80 수분 진정 앰플,4.43,553
serum_ampoule,46,딕셔니스트아미노산 앰플,4.6,4794
serum_ampoule,47,마녀공장비피다 바이옴 콤플렉스 앰플,4.56,3191
serum_ampoule,48,글로우풀시카 바하 카밍 세럼,4.45,596
serum_ampoule,49,로포에베러 밸런스 앰플,4.65,1304
serum_ampoule,50,토리든셀메이징 비타C 브라이트닝 앰플,4.56,1227
serum_ampoule,51,리브엠엑소코어 텐션 앰플 [워터풀],4.57,3458
serum_ampoule,52,토코보시카 카밍 세럼,4.66,1953
serum_ampoule,53,잇츠스킨파워10 감초줄렌 이펙터 [수분진정],4.58,3299
serum_ampoule,54,코스알엑스더 나이아신아마이드 15 세럼,4.55,995
serum_ampoule,55,브링그린징크테카 트러블 세럼,4.27,4453
serum_ampoule,56,라운드랩자작나무 수분 앰플,4.59,1348
serum_ampoule,57,오어스히알루론시카 7초 세럼 인 앰플,4.59,632
serum_ampoule,58,이니스프리레티놀 PDRN 스킨부스터 앰플,4.57,643
serum_ampoule,59,에스트라아토베리어365 세라-히알 속수분 앰플,4.48,487
